Name,Price,Have,Limit,Discount,Traded
'Blueberries' Buckshot | NSWC SEAL,113,38,184,104,0
'The Doctor' Romanov | Sabre,307,202,231,104,0
'Two Times' McCoy | TACP Cavalry,85,48,150,103,0
'Two Times' McCoy | USAF TACP,100,29,139,106,0
1st Lieutenant Farlow | SWAT,196,34,300,104,0
2020 RMR Challengers,110,161,300,106,0
2020 RMR Contenders,111,276,300,107,0
2020 RMR Legends,110,245,300,106,0
3rd Commando Company | KSK,241,35,150,108,0
Aces High Pin,1162,6,38,103,0
AK-47 | Aquamarine Revenge (Battle-Scarred),2388,4,48,112,0
AK-47 | Aquamarine Revenge (Factory New),7944,2,35,113,1
AK-47 | Aquamarine Revenge (Field-Tested),3736,11,77,111,0
AK-47 | Aquamarine Revenge (Minimal Wear),5483,3,33,112,0
AK-47 | Aquamarine Revenge (Well-Worn),2995,7,59,111,0
AK-47 | Asiimov (Battle-Scarred),3273,9,66,113,0
AK-47 | Asiimov (Factory New),18006,1,16,112,0
AK-47 | Asiimov (Field-Tested),4142,46,262,113,9
AK-47 | Asiimov (Minimal Wear),6356,14,296,112,1
AK-47 | Asiimov (Well-Worn),4455,1,20,114,0
AK-47 | Baroque Purple (Battle-Scarred),279,8,48,107,0
AK-47 | Baroque Purple (Factory New),1074,3,29,106,0
AK-47 | Baroque Purple (Field-Tested),322,27,150,112,0
AK-47 | Baroque Purple (Minimal Wear),543,9,61,113,0
AK-47 | Baroque Purple (Well-Worn),293,12,84,111,0
AK-47 | Black Laminate (Battle-Scarred),2245,0,4,100,0
AK-47 | Black Laminate (Factory New),10760,0,2,97,0
AK-47 | Black Laminate (Field-Tested),2374,1,14,109,0
AK-47 | Black Laminate (Minimal Wear),2690,0,8,104,0
AK-47 | Black Laminate (Well-Worn),2275,0,3,98,0
AK-47 | Bloodsport (Factory New),8445,3,186,112,0
AK-47 | Bloodsport (Field-Tested),6490,16,301,111,4
AK-47 | Bloodsport (Minimal Wear),7280,18,215,111,3
AK-47 | Bloodsport (Well-Worn),6397,6,55,111,1
AK-47 | Blue Laminate (Factory New),1221,13,100,113,0
AK-47 | Blue Laminate (Field-Tested),919,18,78,112,0
AK-47 | Blue Laminate (Minimal Wear),984,15,63,111,0
AK-47 | Blue Laminate (Well-Worn),1276,0,7,98,0
AK-47 | Cartel (Battle-Scarred),867,3,13,102,0
AK-47 | Cartel (Factory New),1762,3,33,107,0
AK-47 | Cartel (Field-Tested),899,17,79,110,0
AK-47 | Cartel (Minimal Wear),1153,9,106,111,0
AK-47 | Cartel (Well-Worn),1017,1,10,99,0
AK-47 | Case Hardened (Battle-Scarred),9038,1,32,111,0
AK-47 | Case Hardened (Factory New),20563,4,12,106,3
AK-47 | Case Hardened (Field-Tested),11982,9,56,113,1
AK-47 | Case Hardened (Minimal Wear),14617,1,42,116,0
AK-47 | Case Hardened (Well-Worn),10010,2,39,112,0
AK-47 | Elite Build (Battle-Scarred),178,26,290,107,0
AK-47 | Elite Build (Factory New),900,4,38,111,1
AK-47 | Elite Build (Field-Tested),266,69,300,111,0
AK-47 | Elite Build (Minimal Wear),391,35,300,112,0
AK-47 | Elite Build (Well-Worn),197,57,300,106,0
AK-47 | Emerald Pinstripe (Battle-Scarred),505,12,61,111,0
AK-47 | Emerald Pinstripe (Factory New),1334,1,52,103,0
AK-47 | Emerald Pinstripe (Field-Tested),572,25,118,111,1
AK-47 | Emerald Pinstripe (Minimal Wear),851,4,59,111,0
AK-47 | Emerald Pinstripe (Well-Worn),504,22,86,110,0
AK-47 | Fire Serpent (Battle-Scarred),39786,0,5,110,0
AK-47 | Fire Serpent (Field-Tested),64892,1,22,108,0
AK-47 | Fire Serpent (Minimal Wear),81818,0,3,105,0
AK-47 | Fire Serpent (Well-Worn),48324,0,2,94,0
AK-47 | First Class (Battle-Scarred),3078,0,2,100,0
AK-47 | First Class (Factory New),5809,0,4,105,0
AK-47 | First Class (Field-Tested),3543,0,2,100,0
AK-47 | First Class (Minimal Wear),4861,0,2,100,0
AK-47 | First Class (Well-Worn),3184,0,2,100,0
AK-47 | Frontside Misty (Battle-Scarred),1780,6,96,114,0
AK-47 | Frontside Misty (Factory New),6234,1,32,116,0
AK-47 | Frontside Misty (Field-Tested),2262,57,344,112,4
AK-47 | Frontside Misty (Minimal Wear),3358,7,80,113,2
AK-47 | Frontside Misty (Well-Worn),2207,6,70,111,0
AK-47 | Fuel Injector (Battle-Scarred),6081,4,47,111,0
AK-47 | Fuel Injector (Factory New),22550,0,7,105,0
AK-47 | Fuel Injector (Field-Tested),9430,4,65,113,0
AK-47 | Fuel Injector (Minimal Wear),13598,3,31,108,0
AK-47 | Fuel Injector (Well-Worn),7336,4,57,116,0
AK-47 | Hydroponic (Battle-Scarred),16398,0,2,100,0
AK-47 | Hydroponic (Factory New),99456,0,2,105,0
AK-47 | Hydroponic (Field-Tested),38595,0,9,109,0
AK-47 | Hydroponic (Minimal Wear),66613,0,4,102,0
AK-47 | Jaguar (Battle-Scarred),2230,0,12,104,0
AK-47 | Jaguar (Factory New),9057,0,3,100,0
AK-47 | Jaguar (Field-Tested),2808,11,34,108,0
AK-47 | Jaguar (Minimal Wear),3840,3,13,102,0
AK-47 | Jaguar (Well-Worn),2562,4,16,110,0
AK-47 | Jet Set (Battle-Scarred),8681,0,2,100,0
AK-47 | Jet Set (Field-Tested),10150,0,4,92,0
AK-47 | Jet Set (Minimal Wear),13607,0,2,94,0
AK-47 | Jet Set (Well-Worn),9063,0,2,99,0
AK-47 | Jungle Spray (Battle-Scarred),405,1,4,99,0
AK-47 | Jungle Spray (Field-Tested),385,4,17,101,0
AK-47 | Jungle Spray (Minimal Wear),917,0,3,98,0
AK-47 | Jungle Spray (Well-Worn),399,0,3,98,0
AK-47 | Legion of Anubis (Battle-Scarred),2152,5,55,109,0
AK-47 | Legion of Anubis (Factory New),6409,12,120,112,8
AK-47 | Legion of Anubis (Field-Tested),3350,27,205,111,3
AK-47 | Legion of Anubis (Minimal Wear),4399,6,100,112,0
AK-47 | Legion of Anubis (Well-Worn),3139,2,20,113,0
AK-47 | Neon Revolution (Battle-Scarred),2531,5,70,114,0
AK-47 | Neon Revolution (Factory New),6370,5,57,111,1
AK-47 | Neon Revolution (Field-Tested),2830,59,336,111,0
AK-47 | Neon Revolution (Minimal Wear),3837,14,71,112,0
AK-47 | Neon Revolution (Well-Worn),3326,2,19,112,0
AK-47 | Neon Rider (Battle-Scarred),3213,2,40,112,1
AK-47 | Neon Rider (Factory New),12637,0,32,111,0
AK-47 | Neon Rider (Field-Tested),4735,23,116,113,0
AK-47 | Neon Rider (Minimal Wear),7211,4,144,110,0
AK-47 | Neon Rider (Well-Worn),4708,2,9,101,0
AK-47 | Orbit Mk01 (Battle-Scarred),1299,1,12,98,0
AK-47 | Orbit Mk01 (Factory New),1979,5,41,108,0
AK-47 | Orbit Mk01 (Field-Tested),1453,11,142,111,0
AK-47 | Orbit Mk01 (Minimal Wear),1647,16,97,111,1
AK-47 | Orbit Mk01 (Well-Worn),1332,0,11,98,0
AK-47 | Panthera onca (Battle-Scarred),14190,1,6,109,0
AK-47 | Panthera onca (Factory New),49668,0,7,112,0
AK-47 | Panthera onca (Field-Tested),23677,1,22,110,0
AK-47 | Panthera onca (Minimal Wear),33829,0,10,110,0
AK-47 | Panthera onca (Well-Worn),16457,0,14,104,0
AK-47 | Phantom Disruptor (Battle-Scarred),1190,4,131,112,0
AK-47 | Phantom Disruptor (Factory New),2267,9,105,112,2
AK-47 | Phantom Disruptor (Field-Tested),1360,53,852,112,0
AK-47 | Phantom Disruptor (Minimal Wear),1758,28,272,111,0
AK-47 | Phantom Disruptor (Well-Worn),1486,1,63,111,0
AK-47 | Point Disarray (Battle-Scarred),1798,1,45,107,0
AK-47 | Point Disarray (Factory New),5031,2,19,112,0
AK-47 | Point Disarray (Field-Tested),2417,19,187,113,0
AK-47 | Point Disarray (Minimal Wear),3394,3,61,113,0
AK-47 | Point Disarray (Well-Worn),2453,0,17,108,0
AK-47 | Predator (Battle-Scarred),709,0,3,96,0
AK-47 | Predator (Factory New),3436,0,2,100,0
AK-47 | Predator (Field-Tested),796,1,12,103,0
AK-47 | Predator (Minimal Wear),896,0,6,99,0
AK-47 | Predator (Well-Worn),732,0,2,98,0
AK-47 | Rat Rod (Battle-Scarred),596,15,53,110,0
AK-47 | Rat Rod (Factory New),1225,3,42,109,0
AK-47 | Rat Rod (Field-Tested),619,30,195,113,2
AK-47 | Rat Rod (Minimal Wear),818,11,72,111,0
AK-47 | Rat Rod (Well-Worn),605,16,93,112,1
AK-47 | Red Laminate (Battle-Scarred),2372,0,6,105,0
AK-47 | Red Laminate (Field-Tested),2641,5,29,108,0
AK-47 | Red Laminate (Minimal Wear),3280,1,6,105,0
AK-47 | Red Laminate (Well-Worn),2317,1,5,99,0
AK-47 | Redline (Battle-Scarred),1275,6,84,112,0
AK-47 | Redline (Field-Tested),2332,54,602,112,0
AK-47 | Redline (Minimal Wear),7622,4,74,111,0
AK-47 | Redline (Well-Worn),2012,4,59,108,0
AK-47 | Safari Mesh (Battle-Scarred),25,28,50,99,0
AK-47 | Safari Mesh (Factory New),450,2,12,105,0
AK-47 | Safari Mesh (Field-Tested),25,50,50,100,0
AK-47 | Safari Mesh (Minimal Wear),75,29,150,106,0
AK-47 | Safari Mesh (Well-Worn),36,13,50,98,0
AK-47 | Safety Net (Battle-Scarred),835,3,9,100,0
AK-47 | Safety Net (Factory New),1632,1,39,108,0
AK-47 | Safety Net (Field-Tested),978,9,43,112,0
AK-47 | Safety Net (Minimal Wear),1222,5,61,106,0
AK-47 | Safety Net (Well-Worn),1058,0,16,103,0
AK-47 | The Empress (Battle-Scarred),3808,18,81,112,4
AK-47 | The Empress (Factory New),12312,3,34,113,2
AK-47 | The Empress (Field-Tested),4617,24,175,112,0
AK-47 | The Empress (Minimal Wear),6508,8,224,113,2
AK-47 | The Empress (Well-Worn),4082,23,116,111,0
AK-47 | Uncharted (Battle-Scarred),63,18,150,106,0
AK-47 | Uncharted (Factory New),183,19,190,106,0
AK-47 | Uncharted (Field-Tested),63,89,150,107,0
AK-47 | Uncharted (Minimal Wear),93,44,150,107,0
AK-47 | Uncharted (Well-Worn),114,3,92,105,0
AK-47 | Vulcan (Battle-Scarred),4161,0,16,111,0
AK-47 | Vulcan (Factory New),36645,0,16,102,0
AK-47 | Vulcan (Field-Tested),9518,9,123,111,0
AK-47 | Vulcan (Minimal Wear),20294,5,45,111,0
AK-47 | Vulcan (Well-Worn),6590,2,54,114,0
AK-47 | Wasteland Rebel (Battle-Scarred),2872,1,9,102,0
AK-47 | Wasteland Rebel (Field-Tested),3332,23,59,111,0
AK-47 | Wasteland Rebel (Minimal Wear),4547,2,19,114,0
AK-47 | Wasteland Rebel (Well-Worn),3449,0,4,100,0
AK-47 | Wild Lotus (Battle-Scarred),97856,0,2,105,0
AK-47 | X-Ray (Battle-Scarred),43747,1,6,100,0
AK-47 | X-Ray (Field-Tested),129077,0,5,102,0
AK-47 | X-Ray (Minimal Wear),187458,0,2,108,0
AK-47 | X-Ray (Well-Worn),68888,0,4,95,0
Alyx Pin,3916,0,4,100,0
Atlanta 2017 Challengers (Holo-Foil),3944,0,3,96,0
Atlanta 2017 Cobblestone Souvenir Package,41284,0,6,111,0
Atlanta 2017 Legends (Holo-Foil),5548,0,4,105,0
Atlanta 2017 Nuke Souvenir Package,2892,0,2,99,0
Atlanta 2017 Overpass Souvenir Package,2334,0,2,100,0
Atlanta 2017 Train Souvenir Package,592,0,2,98,0
AUG | Akihabara Accept (Field-Tested),69215,0,6,89,0
AUG | Akihabara Accept (Minimal Wear),171160,0,2,105,0
AUG | Akihabara Accept (Well-Worn),35327,0,2,105,0
AUG | Amber Slipstream (Battle-Scarred),9,2,8,90,0
AUG | Amber Slipstream (Factory New),31,6,25,98,0
AUG | Amber Slipstream (Field-Tested),11,8,50,100,0
AUG | Amber Slipstream (Minimal Wear),19,3,36,99,0
AUG | Amber Slipstream (Well-Worn),15,1,5,93,0
AUG | Anodized Navy (Factory New),1199,0,4,97,0
AUG | Arctic Wolf (Battle-Scarred),93,3,15,103,0
AUG | Arctic Wolf (Factory New),740,1,11,103,0
AUG | Arctic Wolf (Field-Tested),208,36,111,105,0
AUG | Arctic Wolf (Minimal Wear),430,6,32,108,0
AUG | Arctic Wolf (Well-Worn),280,4,11,102,0
AUG | Aristocrat (Battle-Scarred),67,3,17,96,0
AUG | Aristocrat (Factory New),218,3,23,105,0
AUG | Aristocrat (Field-Tested),77,14,92,106,0
AUG | Aristocrat (Minimal Wear),123,11,64,104,1
AUG | Aristocrat (Well-Worn),100,1,13,98,0
AUG | Bengal Tiger (Battle-Scarred),346,0,2,96,0
AUG | Bengal Tiger (Factory New),3457,0,2,95,0
AUG | Bengal Tiger (Field-Tested),419,1,8,103,0
AUG | Bengal Tiger (Minimal Wear),897,1,2,97,0
AUG | Bengal Tiger (Well-Worn),416,0,2,93,0
AUG | Carved Jade (Factory New),700,4,49,102,0
AUG | Carved Jade (Field-Tested),483,1,5,94,0
AUG | Carved Jade (Minimal Wear),555,1,21,95,0
AUG | Chameleon (Battle-Scarred),489,1,4,98,0
AUG | Chameleon (Factory New),738,2,15,102,0
AUG | Chameleon (Field-Tested),527,9,29,108,0
AUG | Chameleon (Minimal Wear),590,1,26,108,0
AUG | Chameleon (Well-Worn),522,0,5,98,0
AUG | Colony (Field-Tested),35,0,2,85,0
AUG | Colony (Minimal Wear),62,1,2,94,0
AUG | Condemned (Battle-Scarred),8,5,28,99,0
AUG | Condemned (Factory New),66,0,5,95,0
AUG | Condemned (Field-Tested),8,30,50,99,0
AUG | Condemned (Minimal Wear),10,14,45,98,0
AUG | Condemned (Well-Worn),8,7,22,97,0
AUG | Contractor (Factory New),11,4,11,83,0
AUG | Copperhead (Field-Tested),4441,0,2,100,0
AUG | Copperhead (Minimal Wear),5014,0,2,99,0
AUG | Daedalus (Battle-Scarred),96,0,2,95,0
AUG | Daedalus (Factory New),126,0,6,91,0
AUG | Daedalus (Field-Tested),106,1,7,93,0
AUG | Daedalus (Minimal Wear),114,0,5,95,0
AUG | Daedalus (Well-Worn),102,0,2,95,0
AUG | Death by Puppy (Factory New),914,1,18,105,0
AUG | Death by Puppy (Field-Tested),498,2,26,108,0
AUG | Death by Puppy (Minimal Wear),627,3,28,109,0
AUG | Death by Puppy (Well-Worn),411,0,2,97,0
AUG | Flame Jörmungandr (Factory New),10835,0,7,94,0
AUG | Flame Jörmungandr (Field-Tested),9268,0,5,102,0
AUG | Flame Jörmungandr (Minimal Wear),8572,1,5,98,0
AUG | Fleet Flock (Battle-Scarred),214,2,15,107,0
AUG | Fleet Flock (Factory New),1371,0,7,98,0
AUG | Fleet Flock (Field-Tested),240,3,35,110,0
AUG | Fleet Flock (Minimal Wear),528,1,14,105,0
AUG | Fleet Flock (Well-Worn),213,0,19,103,0
AUG | Hot Rod (Factory New),25766,0,2,97,0
AUG | Midnight Lily (Factory New),6506,0,17,108,0
AUG | Midnight Lily (Field-Tested),5060,0,5,98,0
AUG | Midnight Lily (Minimal Wear),5826,0,5,104,0
AUG | Midnight Lily (Well-Worn),2882,0,2,69,0
AUG | Momentum (Battle-Scarred),229,6,47,109,0
AUG | Momentum (Factory New),2499,0,4,99,0
AUG | Momentum (Field-Tested),297,40,94,111,0
AUG | Momentum (Minimal Wear),808,5,17,104,0
AUG | Momentum (Well-Worn),247,8,44,111,0
AUG | Navy Murano (Battle-Scarred),21,2,6,85,0
AUG | Navy Murano (Factory New),131,2,11,94,0
AUG | Navy Murano (Field-Tested),28,6,21,90,0
AUG | Navy Murano (Minimal Wear),49,3,38,92,0
AUG | Navy Murano (Well-Worn),22,3,15,90,0
AUG | Radiation Hazard (Battle-Scarred),42,0,2,90,0
AUG | Radiation Hazard (Factory New),135,6,17,90,0
AUG | Radiation Hazard (Field-Tested),58,2,16,93,0
AUG | Radiation Hazard (Minimal Wear),102,6,20,103,0
AUG | Radiation Hazard (Well-Worn),63,1,3,95,0
AUG | Random Access (Battle-Scarred),125,0,4,94,0
AUG | Random Access (Factory New),473,2,10,103,0
AUG | Random Access (Field-Tested),157,0,18,95,0
AUG | Random Access (Minimal Wear),239,1,13,103,0
AUG | Random Access (Well-Worn),129,1,4,95,0
AUG | Ricochet (Battle-Scarred),13,3,13,91,0
AUG | Ricochet (Factory New),138,0,20,94,0
AUG | Ricochet (Field-Tested),22,14,50,98,0
AUG | Ricochet (Minimal Wear),61,8,71,104,0
AUG | Ricochet (Well-Worn),64,0,8,94,0
AUG | Storm (Factory New),17,6,9,90,0
AUG | Stymphalian (Battle-Scarred),212,1,21,103,0
AUG | Stymphalian (Factory New),687,0,25,108,0
AUG | Stymphalian (Field-Tested),229,10,160,112,0
AUG | Stymphalian (Minimal Wear),402,3,75,114,0
AUG | Stymphalian (Well-Worn),238,4,17,108,0
AUG | Surveillance (Battle-Scarred),5,16,48,92,0
AUG | Surveillance (Factory New),10,23,50,98,0
AUG | Surveillance (Field-Tested),5,49,50,98,0
AUG | Surveillance (Minimal Wear),5,45,50,100,0
AUG | Surveillance (Well-Worn),5,7,27,98,0
AUG | Sweeper (Battle-Scarred),5,4,4,91,0
AUG | Sweeper (Factory New),8,21,50,90,0
AUG | Sweeper (Minimal Wear),5,8,8,92,0
AUG | Syd Mead (Battle-Scarred),235,2,20,103,0
AUG | Syd Mead (Factory New),823,3,9,102,0
AUG | Syd Mead (Field-Tested),255,11,99,113,0
AUG | Syd Mead (Minimal Wear),470,5,36,110,0
AUG | Syd Mead (Well-Worn),300,2,10,105,0
AUG | Tom Cat (Battle-Scarred),8,4,50,103,0
AUG | Tom Cat (Factory New),54,5,43,104,0
AUG | Tom Cat (Field-Tested),8,32,50,98,0
AUG | Tom Cat (Minimal Wear),15,22,50,98,0
AUG | Tom Cat (Well-Worn),13,3,15,94,0
AUG | Torque (Factory New),361,2,9,103,0
AUG | Torque (Field-Tested),208,1,9,93,0
AUG | Torque (Minimal Wear),275,4,14,100,0
AUG | Torque (Well-Worn),175,1,2,88,0
AUG | Triqua (Battle-Scarred),7,10,33,97,0
AUG | Triqua (Factory New),71,1,23,101,0
AUG | Triqua (Field-Tested),8,25,50,102,0
AUG | Triqua (Minimal Wear),14,17,50,98,0
AUG | Triqua (Well-Worn),8,17,50,99,0
AUG | Wings (Factory New),717,0,26,103,0
AUG | Wings (Minimal Wear),656,0,6,96,0
Autograph Capsule | Astralis | Atlanta 2017,547,0,2,98,0
Autograph Capsule | Challengers (Foil) | Atlanta 2017,3438,0,3,100,0
Autograph Capsule | Challengers (Foil) | Cluj-Napoca 2015,1774,0,2,98,0
Autograph Capsule | Challengers (Foil) | Cologne 2016,2947,0,2,100,0
Autograph Capsule | Challengers (Foil) | MLG Columbus 2016,1545,0,4,98,0
Autograph Capsule | Cloud9 G2A | Cologne 2015,387,0,2,98,0
Autograph Capsule | Cloud9 | Cluj-Napoca 2015,498,0,2,91,0
Autograph Capsule | Counter Logic Gaming | Cluj-Napoca 2015,181,0,2,92,0
Autograph Capsule | FaZe Clan | Atlanta 2017,344,0,2,97,0
Autograph Capsule | FaZe Clan | MLG Columbus 2016,233,0,2,98,0
Autograph Capsule | Fnatic | Atlanta 2017,254,0,2,97,0
Autograph Capsule | Fnatic | Cluj-Napoca 2015,215,0,2,96,0
Autograph Capsule | Fnatic | Cologne 2015,208,0,2,97,0
Autograph Capsule | Fnatic | MLG Columbus 2016,201,0,2,97,0
Autograph Capsule | G2 Esports | Cluj-Napoca 2015,199,0,2,97,0
Autograph Capsule | GODSENT | Atlanta 2017,285,0,2,94,0
Autograph Capsule | Group A (Foil) | Cologne 2015,802,0,2,98,0
Autograph Capsule | Group B (Foil) | Cologne 2015,894,1,3,96,0
Autograph Capsule | Group C (Foil) | Cologne 2015,940,0,2,98,0
Autograph Capsule | Group D (Foil) | Cologne 2015,1078,0,2,96,0
Autograph Capsule | Legends (Foil) | Atlanta 2017,6966,0,6,107,0
Autograph Capsule | Legends (Foil) | Cluj-Napoca 2015,1153,1,4,98,0
Autograph Capsule | Legends (Foil) | Cologne 2016,2380,0,2,100,0
Autograph Capsule | Legends (Foil) | MLG Columbus 2016,1071,0,4,97,0
Autograph Capsule | Luminosity Gaming | MLG Columbus 2016,260,0,2,94,0
Autograph Capsule | mousesports | Cluj-Napoca 2015,824,0,2,91,0
Autograph Capsule | mousesports | Cologne 2015,232,0,2,98,0
Autograph Capsule | Natus Vincere | Atlanta 2017,1999,0,2,97,0
Autograph Capsule | Natus Vincere | Cluj-Napoca 2015,292,0,2,98,0
Autograph Capsule | Natus Vincere | Cologne 2015,305,0,2,98,0
Autograph Capsule | Natus Vincere | MLG Columbus 2016,256,0,2,95,0
Autograph Capsule | Ninjas in Pyjamas | Cluj-Napoca 2015,173,0,2,95,0
Autograph Capsule | Ninjas in Pyjamas | Cologne 2015,173,0,2,95,0
Autograph Capsule | Renegades | Cologne 2015,248,0,2,89,0
Autograph Capsule | SK Gaming | Cologne 2016,286,0,2,98,0
Autograph Capsule | Splyce | MLG Columbus 2016,255,0,2,98,0
Autograph Capsule | Team EnVyUs | Cluj-Napoca 2015,233,0,6,86,0
Autograph Capsule | Team EnVyUs | Cologne 2015,222,0,11,62,0
Autograph Capsule | Team EnVyUs | Cologne 2016,505,0,3,48,0
Autograph Capsule | Team EnVyUs | MLG Columbus 2016,357,0,2,83,0
Autograph Capsule | Team Kinguin | Cologne 2015,231,0,2,98,0
Autograph Capsule | Team SoloMid | Cluj-Napoca 2015,188,0,2,92,0
Autograph Capsule | Team SoloMid | Cologne 2015,196,0,2,98,0
Autograph Capsule | Titan | Cologne 2015,597,0,2,98,0
Autograph Capsule | Vexed Gaming | Cluj-Napoca 2015,184,0,2,95,0
Autograph Capsule | Virtus.Pro | Atlanta 2017,216,0,2,98,0
Autograph Capsule | Virtus.Pro | Cluj-Napoca 2015,210,0,2,98,0
Autograph Capsule | Virtus.Pro | Cologne 2015,203,0,2,98,0
AWP | Acheron (Battle-Scarred),137,4,45,104,0
AWP | Acheron (Factory New),566,1,29,111,0
AWP | Acheron (Field-Tested),149,29,211,106,0
AWP | Acheron (Minimal Wear),294,12,89,112,0
AWP | Acheron (Well-Worn),300,1,10,104,0
AWP | Asiimov (Battle-Scarred),6423,27,324,112,0
AWP | Asiimov (Field-Tested),10312,14,281,111,1
AWP | Asiimov (Well-Worn),7991,9,142,111,0
AWP | Atheris (Battle-Scarred),237,20,181,113,0
AWP | Atheris (Factory New),1299,9,111,112,0
AWP | Atheris (Field-Tested),323,69,300,108,0
AWP | Atheris (Minimal Wear),606,52,230,112,0
AWP | Atheris (Well-Worn),274,37,300,113,0
AWP | BOOM (Factory New),16735,0,2,100,0
AWP | BOOM (Field-Tested),4359,3,13,108,0
AWP | BOOM (Minimal Wear),5683,3,106,113,0
AWP | Capillary (Battle-Scarred),40,22,50,97,0
AWP | Capillary (Factory New),306,4,30,118,0
AWP | Capillary (Field-Tested),42,45,50,101,0
AWP | Capillary (Minimal Wear),77,26,150,107,0
AWP | Capillary (Well-Worn),73,12,70,104,0
AWP | Containment Breach (Battle-Scarred),3441,12,33,109,0
AWP | Containment Breach (Factory New),20634,1,8,109,1
AWP | Containment Breach (Field-Tested),6087,12,153,111,2
AWP | Containment Breach (Minimal Wear),9644,2,49,114,1
AWP | Containment Breach (Well-Worn),4593,11,40,107,0
AWP | Corticera (Factory New),2497,1,9,105,0
AWP | Corticera (Field-Tested),1063,4,20,108,0
AWP | Corticera (Minimal Wear),1266,11,101,111,0
AWP | Dragon Lore (Battle-Scarred),173521,0,2,108,0
AWP | Dragon Lore (Factory New),490568,0,4,111,0
AWP | Dragon Lore (Field-Tested),272538,0,3,111,0
AWP | Dragon Lore (Minimal Wear),436061,0,4,111,0
AWP | Electric Hive (Factory New),4325,4,14,108,0
AWP | Electric Hive (Field-Tested),2650,7,32,111,0
AWP | Electric Hive (Minimal Wear),3278,4,29,113,0
AWP | Electric Hive (Well-Worn),2475,0,2,98,0
AWP | Elite Build (Battle-Scarred),552,2,17,106,0
AWP | Elite Build (Factory New),2377,3,17,108,0
AWP | Elite Build (Field-Tested),747,7,48,111,0
AWP | Elite Build (Minimal Wear),1200,4,70,107,0
AWP | Elite Build (Well-Worn),590,4,26,107,0
AWP | Exoskeleton (Battle-Scarred),209,36,184,106,0
AWP | Exoskeleton (Factory New),992,9,35,107,0
AWP | Exoskeleton (Field-Tested),256,63,300,112,0
AWP | Exoskeleton (Minimal Wear),456,33,175,112,0
AWP | Exoskeleton (Well-Worn),230,54,300,113,0
AWP | Fade (Factory New),154425,1,43,112,0
AWP | Fade (Minimal Wear),140067,0,2,105,0
AWP | Fever Dream (Battle-Scarred),583,1,20,103,0
AWP | Fever Dream (Factory New),1215,15,176,111,0
AWP | Fever Dream (Field-Tested),698,45,192,110,0
AWP | Fever Dream (Minimal Wear),882,33,127,110,1
AWP | Fever Dream (Well-Worn),854,3,15,105,0
AWP | Graphite (Factory New),13176,3,61,112,0
AWP | Graphite (Minimal Wear),11979,1,9,107,0
AWP | Hyper Beast (Battle-Scarred),2565,8,38,112,0
AWP | Hyper Beast (Factory New),9819,3,36,112,1
AWP | Hyper Beast (Field-Tested),3776,11,86,112,0
AWP | Hyper Beast (Minimal Wear),5740,10,126,111,0
AWP | Hyper Beast (Well-Worn),3167,5,48,115,0
AWP | Lightning Strike (Factory New),30235,3,36,110,1
AWP | Lightning Strike (Minimal Wear),25479,0,2,105,0
AWP | Man-o'-war (Field-Tested),2512,3,21,109,0
AWP | Man-o'-war (Minimal Wear),2665,9,90,114,0
AWP | Medusa (Field-Tested),187420,0,3,108,0
AWP | Medusa (Minimal Wear),185542,0,2,105,0
AWP | Medusa (Well-Worn),137900,0,2,105,0
AWP | Mortis (Battle-Scarred),337,9,65,114,0
AWP | Mortis (Factory New),781,5,64,113,0
AWP | Mortis (Field-Tested),309,96,300,112,0
AWP | Mortis (Minimal Wear),458,34,211,112,0
AWP | Mortis (Well-Worn),459,3,30,108,0
AWP | Neo-Noir (Battle-Scarred),3215,3,22,112,0
AWP | Neo-Noir (Factory New),5811,10,262,112,0
AWP | Neo-Noir (Field-Tested),3917,55,176,108,0
AWP | Neo-Noir (Minimal Wear),4745,18,106,112,0
AWP | Neo-Noir (Well-Worn),3825,2,29,111,0
AWP | Oni Taiji (Battle-Scarred),8470,0,4,105,0
AWP | Oni Taiji (Factory New),30796,0,7,109,0
AWP | Oni Taiji (Field-Tested),15916,2,23,112,0
AWP | Oni Taiji (Minimal Wear),22962,0,17,111,0
AWP | Oni Taiji (Well-Worn),10182,0,5,100,0
AWP | PAW (Battle-Scarred),216,0,18,101,0
AWP | PAW (Factory New),640,11,90,107,0
AWP | PAW (Field-Tested),202,31,284,106,0
AWP | PAW (Minimal Wear),355,29,183,112,0
AWP | PAW (Well-Worn),259,3,30,116,0
AWP | Phobos (Factory New),238,25,141,114,0
AWP | Phobos (Field-Tested),151,25,258,107,0
AWP | Phobos (Minimal Wear),166,28,300,107,0
AWP | Phobos (Well-Worn),423,2,7,104,0
AWP | Pink DDPAT (Battle-Scarred),1805,0,5,98,0
AWP | Pink DDPAT (Factory New),7919,2,5,104,0
AWP | Pink DDPAT (Field-Tested),2176,2,35,111,0
AWP | Pink DDPAT (Minimal Wear),3247,3,14,107,0
AWP | Pink DDPAT (Well-Worn),1810,0,8,98,0
AWP | Pit Viper (Battle-Scarred),89,6,18,105,0
AWP | Pit Viper (Field-Tested),64,28,150,107,0
AWP | Pit Viper (Minimal Wear),93,79,150,107,0
AWP | Pit Viper (Well-Worn),93,2,28,106,0
AWP | Redline (Field-Tested),3305,5,82,114,0
AWP | Redline (Minimal Wear),5171,5,41,115,0
